effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,X_k,0.18455778635020215,0.15642790164437015,-0.1108530118408996,0.502894298525666
fixed,cond,NA,X_c:X_k,-0.043449309878590886,0.18507961143797957,-0.393675049306406,0.31200068342676557
ran_pars,cond,item_id,sd__(Intercept),0.5351017465738809,0.04455705514008234,0.4540748424677523,0.6261301702097637
ran_pars,cond,item_id,sd__X_c,0.5892588888536497,0.05658732637806504,0.48907026503614565,0.7065412763453555
ran_pars,cond,subj_id,sd__(Intercept),0.6061223828954307,0.07379294021058004,0.4798807318730958,0.7767716356036893
ran_pars,cond,subj_id,sd__X_c,0.6837475047457319,0.0917007727263729,0.5313036241834431,0.8912920043949935
ran_pars,cond,subj_id,sd__X_k,0.6585504400855295,0.08768997319490739,0.5100210765358081,0.8612405198486902
ran_pars,cond,subj_id,sd__X_c:X_k,0.8011953573988367,0.12266257951166509,0.5920537916256354,1.0710712255728159
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.06528827161668464,0.12266291168367027,-0.29897599623826515,0.17903112772728091
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.007126034089213344,0.1696821916759986,-0.33588086494745023,0.33289689440729575
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.34470707931483424,0.1499765152413548,-0.6188973480609875,-0.03574898211857269
ran_pars,cond,subj_id,cor__X_c.X_k,-0.054553177410355896,0.16836975825890432,-0.3797317894019465,0.27511778494924105
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.331083162122656,0.16561278341474478,-0.6222666156852653,0.027388852256176873
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.03650485831278432,0.18042034482890892,-0.38596743586858984,0.31765992482264505
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.040578055347090136,0.18640353307359953,-0.31998425746517095,0.3938592017536159
fixed,cond,NA,(Intercept),0.022845310909040167,0.0964214280661535,-0.15811527679706355,0.21095382328687667
fixed,cond,NA,X_c,-0.012852325883875781,0.13333478686137798,-0.27461301793162535,0.2509316152096554
fixed,cond,NA,X_k,-0.18502861264491255,0.1421738309577452,-0.46445699994413314,0.09584403379327781
fixed,cond,NA,X_c:X_k,-0.18841606758784044,0.1651875668272556,-0.5105336063101233,0.12856624168956607
ran_pars,cond,item_id,sd__(Intercept),0.5163495956733238,0.04273625950253248,0.44039715017919534,0.6076616917931723
ran_pars,cond,item_id,sd__X_c,0.5341686619095951,0.05328591916679471,0.4377374290857345,0.645673559841429
ran_pars,cond,subj_id,sd__(Intercept),0.523048465972113,0.06449396521955635,0.4074194676067181,0.6614697171447752
ran_pars,cond,subj_id,sd__X_c,0.7297388900605926,0.09635206674531557,0.5682609809124695,0.9397419418057954
ran_pars,cond,subj_id,sd__X_k,0.5587498065431198,0.07537222025794155,0.43281543510747894,0.7313233743741328
ran_pars,cond,subj_id,sd__X_c:X_k,0.6484680233007759,0.10767184647844125,0.46280259956406544,0.8810083641532213
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.10664311119299857,0.12334881733045633,-0.34118590703397894,0.14492709253357752
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.1395810851336884,0.1633378857353656,-0.19019017055993084,0.4443498979118124
ran_pars,cond,subj_id,cor__(Intercept).X_k,0.07435503340854631,0.1715126527139382,-0.26831996794955815,0.4001622699509613
ran_pars,cond,subj_id,cor__X_c.X_k,0.29734330079265425,0.15967593485141923,-0.042250345805040536,0.5854450317492834
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.015215644954869743,0.19223220671663704,-0.38787011486968614,0.3607705507757368
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,0.5023080347337935,0.15845543489665026,0.15013762199764652,0.7730110294417522
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.11611787828351866,0.1918447516928969,-0.27303685820249557,0.47609865145171065
fixed,cond,NA,(Intercept),-0.31351718377096066,0.11876811144860341,-0.5464148513234715,-0.08456977218127751
fixed,cond,NA,X_c,-0.10787413739257087,0.13661250479121392,-0.3742452614710282,0.15737453809527185
fixed,cond,NA,X_k,-0.20531675898975896,0.16839078096042245,-0.5361596283043463,0.13357895350304216
fixed,cond,NA,X_c:X_k,-0.17459799662791856,0.1644446080843098,-0.49017911030962197,0.14467072643336853
ran_pars,cond,item_id,sd__(Intercept),0.5792726532355671,0.047539529463685976,0.491893166973005,0.6815703211962728
ran_pars,cond,item_id,sd__X_c,0.5652697683607104,0.05491310938588745,0.4599434325414169,0.67683471953065
ran_pars,cond,subj_id,sd__(Intercept),0.6342508103621474,0.08202127038777567,0.4990644340890927,0.8109994988695246
ran_pars,cond,subj_id,sd__X_c,0.746726574257971,0.10098024771877924,0.5727080827755128,0.9712658860051514
ran_pars,cond,subj_id,sd__X_k,0.7420101537099152,0.0981034089785142,0.5745136048138445,0.9572882950703226
ran_pars,cond,subj_id,sd__X_c:X_k,0.557497335220811,0.1105073147579656,0.3575559981049522,0.7876104243883314
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.08918576032785082,0.12652604884420687,-0.3308987169197452,0.1703146731248802
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.028369602403643276,0.1660591422185469,-0.2978005052217808,0.34335692875438073
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.023139326971670524,0.16871465477846873,-0.3473228120603268,0.30617098064625775
ran_pars,cond,subj_id,cor__X_c.X_k,0.17941409320884527,0.1617661345086517,-0.138461087285547,0.48437325389991454
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.25317802455747684,0.19153531860963063,-0.6025952499181988,0.14039059502804394
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,0.34095339297652844,0.1879958675326293,-0.05702176601871183,0.6756252056139657
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,-0.17073599870749565,0.19872572416323273,-0.5346931644963797,0.2243772912768188
fixed,cond,NA,(Intercept),0.15279282138792838,0.12415842660925819,-0.09497072049647966,0.3960924100609433
fixed,cond,NA,X_c,0.09235321237113367,0.10816200728424843,-0.12170047247830564,0.2996270947367893
fixed,cond,NA,X_k,0.15296253062595408,0.16237617668834603,-0.16057779094097985,0.47003307714711
fixed,cond,NA,X_c:X_k,0.2033172275976742,0.17218939605016528,-0.12670895151951847,0.5468762655888626
ran_pars,cond,item_id,sd__(Intercept),0.6110513315948274,0.047330884056308836,0.5265680534450126,0.7083917540637598
ran_pars,cond,item_id,sd__X_c,0.6435588616230895,0.061304778893004404,0.5302101586318109,0.7739803762501399
ran_pars,cond,subj_id,sd__(Intercept),0.693503917463112,0.08526377689170707,0.5480757739115382,0.8805142593764272
ran_pars,cond,subj_id,sd__X_c,0.49250243166313556,0.07136411960542133,0.37045024683372435,0.6531149289242427
ran_pars,cond,subj_id,sd__X_k,0.6331478762243785,0.08504345895425414,0.4858466266446036,0.8157490582516749
ran_pars,cond,subj_id,sd__X_c:X_k,0.6452877677153998,0.11071182622162064,0.45421832374594495,0.885804648527154
ran_pars,cond,item_id,cor__(Intercept).X_c,0.06591758119703285,0.12259685486950492,-0.17935635541008652,0.3034629409384215
ran_pars,cond,subj_id,cor__(Intercept).X_c,-0.026960572839383717,0.17275905652309073,-0.3652644540454095,0.30358214160422325
ran_pars,cond,subj_id,cor__(Intercept).X_k,0.062210602506698826,0.163432904653494,-0.27105014934540367,0.36544297434949796
ran_pars,cond,subj_id,cor__X_c.X_k,-0.052650451920364987,0.17731711624705584,-0.3990382467374686,0.2870118618053433
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,0.3292926649770718,0.18000422533648855,-0.05017737726145284,0.6497080342610174
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,0.29862333223919263,0.1855536484732048,-0.08344038809812122,0.6437162900856082
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.2201438931569954,0.1907494499526349,-0.165037001662695,0.5645299276674126
fixed,cond,NA,(Intercept),-3.413392879696154e-4,0.11548621945020567,-0.22094877042918476,0.2269291858842006
fixed,cond,NA,X_c,-0.11548092117442972,0.13653011234370854,-0.3894238766528228,0.15598375719074264
fixed,cond,NA,X_k,-0.07307065107529626,0.1407328841775963,-0.34879995835852495,0.20877831903646818
fixed,cond,NA,X_c:X_k,-0.1396486236491987,0.1779409688077383,-0.49235182480312545,0.2167499046376862
ran_pars,cond,item_id,sd__(Intercept),0.4733404630614738,0.0382815892448212,0.4049280702026531,0.5551612518496529
ran_pars,cond,item_id,sd__X_c,0.5966750178673708,0.057966516838534037,0.49277217531392337,0.7185034018102969
ran_pars,cond,subj_id,sd__(Intercept),0.6530020011467221,0.08359492990184175,0.5169926916506057,0.8395650006409942
ran_pars,cond,subj_id,sd__X_c,0.7453008281312279,0.09648787967762444,0.5889952058940724,0.9613148211812197
ran_pars,cond,subj_id,sd__X_k,0.6430460842809121,0.08384949909187767,0.4975983112783513,0.8341802306254119
ran_pars,cond,subj_id,sd__X_c:X_k,0.6675411439458395,0.11358109076159145,0.46505666480606195,0.9054105028112065
ran_pars,cond,item_id,cor__(Intercept).X_c,0.18197074872667848,0.12159015507136468,-0.07967079282756537,0.40757621840409974
ran_pars,cond,subj_id,cor__(Intercept).X_c,-0.1008787220038351,0.1662051986283495,-0.41197733177550755,0.21861314371848578
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.15665354820586866,0.16682647706545478,-0.4619652005642416,0.18336053320014178
ran_pars,cond,subj_id,cor__X_c.X_k,-0.2714482128065389,0.16568535362613376,-0.5655028900905241,0.07796746049761447
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.20627211774447018,0.18373593000652153,-0.5378644751154927,0.1815355785828883
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.0953447931625613,0.18967098537892044,-0.4460210571390655,0.28609530193994953
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.15991530638621154,0.18671763598323743,-0.215075253296807,0.5022180916137722
fixed,cond,NA,(Intercept),-0.16844188062235424,0.12970446108338407,-0.4144972637828599,0.08912394838690336
fixed,cond,NA,X_c,0.15614946766448154,0.13864502085696753,-0.11973778278968779,0.42755744849050464
fixed,cond,NA,X_k,-0.063898580321249,0.16087340341826253,-0.35841486008040774,0.2588433039872503
fixed,cond,NA,X_c:X_k,-0.010900128175757012,0.18548941962728568,-0.3787262461762944,0.3486412479966194
ran_pars,cond,item_id,sd__(Intercept),0.5884731972585356,0.04759428224534518,0.5016407116327791,0.6870423334707183
ran_pars,cond,item_id,sd__X_c,0.6628588761643823,0.061213795690312045,0.5523881810689176,0.7953607304536754
