Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c)-(0.0) = 0,0.02574161379792562,0.028503069180635124,-0.029973068452077277,0.08091870322275205,NA,NA,
(X_k)-(0.0) = 0,-0.0045201566966253355,0.028103379744049483,-0.059277768748465104,0.048064419040320425,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.22400508238200761,0.05629422625302148,-0.3327803811932689,-0.11582346653689818,NA,NA,*
(X_c)-(0.0) = 0,-0.010786691056831188,0.028193889471820936,-0.06660872658546041,0.04324310913940592,NA,NA,
(X_k)-(0.0) = 0,-0.023315620019214965,0.02824180459613613,-0.07950258838325606,0.033057799796967206,NA,NA,
(X_c:X_k)-(0.0) = 0,0.19631592493618968,0.05677051964272184,0.0888881607223348,0.3090515576871628,NA,NA,*
(X_c)-(0.0) = 0,0.11244099556340885,0.028514262502645316,0.0562680203938363,0.16648507301376528,NA,NA,*
(X_k)-(0.0) = 0,-0.03553815694800364,0.028603232824953324,-0.09310585599443699,0.019624455761675003,NA,NA,
(X_c:X_k)-(0.0) = 0,0.20842704083331806,0.05702918731448115,0.0954364045260474,0.32026274667819415,NA,NA,*
(X_c)-(0.0) = 0,-0.07160901388422272,0.028381568221467025,-0.12656825462370222,-0.0170545115173905,NA,NA,*
(X_k)-(0.0) = 0,0.015006116448509188,0.02765429352227603,-0.03993791099123725,0.0675600139927245,NA,NA,
(X_c:X_k)-(0.0) = 0,0.056108256380379785,0.057281782495888625,-0.05436503687097188,0.16626542769042427,NA,NA,
(X_c)-(0.0) = 0,-0.06415588354088236,0.028621737429041325,-0.12070487617781207,-0.008445640831553127,NA,NA,*
(X_k)-(0.0) = 0,0.14105756352307863,0.027678614144439017,0.08643174710066265,0.19586532261215922,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.24007277081782558,0.05374103284710912,-0.34891073597621874,-0.13319378813759958,NA,NA,*
(X_c)-(0.0) = 0,0.05400002630878842,0.028072367187693896,-0.0013207474030002288,0.10796382759201381,NA,NA,
(X_k)-(0.0) = 0,0.01058995445034009,0.02795860258028208,-0.0447641553899173,0.06471778210850246,NA,NA,
(X_c:X_k)-(0.0) = 0,0.027254264896156937,0.05549270945443687,-0.08068430050445374,0.1331359120907484,NA,NA,
(X_c)-(0.0) = 0,0.01425104712153689,0.027623391865961893,-0.04042292364555727,0.06993684636789466,NA,NA,
(X_k)-(0.0) = 0,0.049144390045434125,0.02818651171509339,-0.0055988308294944835,0.10380446401927355,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.09232349909744766,0.05538602589948362,-0.199395593773015,0.017865561902193853,NA,NA,
(X_c)-(0.0) = 0,-0.11539929698937314,0.02736552638797014,-0.16721305053977326,-0.06262032755951775,NA,NA,*
(X_k)-(0.0) = 0,0.023753056974226746,0.028733698133732718,-0.03206349349585731,0.0805184000444957,NA,NA,
(X_c:X_k)-(0.0) = 0,0.257023398850786,0.05620556066615539,0.14680179001304727,0.3658273263385625,NA,NA,*
(X_c)-(0.0) = 0,-0.15927988091599976,0.028554245607626896,-0.21641044680665808,-0.10617778314290258,NA,NA,*
(X_k)-(0.0) = 0,-0.007699595967318831,0.027375178428027738,-0.05907893769964842,0.04538226424183884,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.20331168122693843,0.05510553353191501,-0.30976785750170327,-0.09547125554218557,NA,NA,*
(X_c)-(0.0) = 0,0.1496243760519938,0.027620094701068677,0.0965681239751725,0.2036770478468701,NA,NA,*
(X_k)-(0.0) = 0,-0.10837923910663885,0.028496889373538836,-0.16325943980185909,-0.05321493260202523,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.052033787111317203,0.05628353580848059,-0.06058836302519682,0.16315238877340138,NA,NA,
(X_c)-(0.0) = 0,-0.10826059556558931,0.02845903066485019,-0.16406915711439243,-0.05189551944050006,NA,NA,*
(X_k)-(0.0) = 0,0.07335288325684666,0.028453217506570327,0.018392724865565854,0.12790656308677115,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.2403391016443978,0.056867716937114496,-0.3529576761226446,-0.12782352215082618,NA,NA,*
(X_c)-(0.0) = 0,-0.023979004844962036,0.027760240486628476,-0.08052052077038445,0.030372177077662012,NA,NA,
(X_k)-(0.0) = 0,0.0674069554568186,0.028139231181785004,0.012469157563281617,0.12339231172484037,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.022002954057333133,0.05537061576499115,-0.08350457811311318,0.12965611333985366,NA,NA,
(X_c)-(0.0) = 0,0.15803894789240702,0.027828824084293144,0.10272196527114134,0.21395202469928276,NA,NA,*
(X_k)-(0.0) = 0,0.12815423065231837,0.029058950233394866,0.07050864162291119,0.1834573025513235,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.09689850492739331,0.05714374769903395,-0.20833675774987942,0.015172331038353276,NA,NA,
(X_c)-(0.0) = 0,0.12602196534191001,0.027962934278777718,0.06982639142049227,0.18059770154028412,NA,NA,*
(X_k)-(0.0) = 0,0.14726458535170944,0.027880133733160544,0.09214335643609914,0.20096731634292048,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.005584200960987882,0.05489782716662174,-0.10292973972202697,0.11154432746829353,NA,NA,
(X_c)-(0.0) = 0,0.037597944415179406,0.02724736705933108,-0.017322517112444778,0.09054698188270661,NA,NA,
(X_k)-(0.0) = 0,0.11328267635451554,0.02834453234908636,0.05911362868452055,0.16745120138873368,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.04029920341502825,0.056580267507813184,-0.1529023360762626,0.07133506975787629,NA,NA,
(X_c)-(0.0) = 0,-0.003975161571862847,0.02732444017688535,-0.05688832436779018,0.04955047337843441,NA,NA,
(X_k)-(0.0) = 0,0.17092909583357538,0.027406213506909707,0.11709412358531843,0.22398178551991077,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.1459300030320381,0.056414517992153974,0.036604807929963706,0.2547933101442495,NA,NA,*
(X_c)-(0.0) = 0,0.07492377393151697,0.02728320715137172,0.021073991582129123,0.12867653044998953,NA,NA,*
(X_k)-(0.0) = 0,0.018047742042189365,0.027823782864986085,-0.03483693166799349,0.07131877976181707,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.031117196098559907,0.055377687606521786,-0.14167763480965534,0.07662598302692403,NA,NA,
(X_c)-(0.0) = 0,-0.05810387636400421,0.02795837208844806,-0.11367239140235443,-0.004200322015101833,NA,NA,*
(X_k)-(0.0) = 0,0.0076096934634531065,0.028132921936883833,-0.04852870069016564,0.06219859319352165,NA,NA,
(X_c:X_k)-(0.0) = 0,0.16725874099950605,0.05695969810979897,0.05723427306261309,0.27959369969803693,NA,NA,*
(X_c)-(0.0) = 0,0.015267317784257385,0.027936184607016124,-0.03977450917167655,0.06949391060362729,NA,NA,
(X_k)-(0.0) = 0,0.14524313554103424,0.028190774936919877,0.08972491670261667,0.2006185816416165,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.015752980124986795,0.05573895585284561,-0.09474458357777302,0.12634872068987124,NA,NA,
(X_c)-(0.0) = 0,0.08774501136316162,0.027860316262876633,0.03393024215072292,0.141690586737611,NA,NA,*
(X_k)-(0.0) = 0,-0.037108722710514123,0.027723475652356746,-0.08963749800193356,0.01585529444198851,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.14633860148484085,0.0561758017299441,-0.25882154515283906,-0.03738383919534041,NA,NA,*
(X_c)-(0.0) = 0,-0.034931693885828445,0.028327180796514768,-0.09052510082035929,0.021106528903495167,NA,NA,
(X_k)-(0.0) = 0,0.15766068055151353,0.028399418966678372,0.10248581990975826,0.21291878155901658,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.01692630567057431,0.05532269674382955,-0.0908328258187003,0.12470722102575796,NA,NA,
(X_c)-(0.0) = 0,0.05532558708258375,0.02771078192588939,-1.480505907348738e-4,0.10929509353293707,NA,NA,
(X_k)-(0.0) = 0,-0.015344450837157447,0.028273559565721692,-0.07090930498081649,0.03959118324990202,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.20695419069557042,0.05728837807254546,-0.3176371540688983,-0.09453229554704652,NA,NA,*
(X_c)-(0.0) = 0,8.749902566005129e-4,0.027764562601010775,-0.05491407495995961,0.05573017805783412,NA,NA,
(X_k)-(0.0) = 0,-0.08079104603213945,0.028526848953951255,-0.1366486012645926,-0.02545626498084054,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.08483119039174494,0.05646605836865456,-0.19665411553693252,0.026546357572059035,NA,NA,
(X_c)-(0.0) = 0,0.011356173009746812,0.028406611580705055,-0.043837330903843875,0.06767033702338549,NA,NA,
(X_k)-(0.0) = 0,-0.015878950244471002,0.02810796965872451,-0.07154398425191426,0.03867489969750414,NA,NA,
(X_c:X_k)-(0.0) = 0,0.08096711831186013,0.05652313601699422,-0.027694241568970136,0.19048264731020118,NA,NA,
(X_c)-(0.0) = 0,0.06515086743815802,0.02830965180139619,0.01005831978553886,0.11892135858531279,NA,NA,*
(X_k)-(0.0) = 0,0.09880667926364967,0.028568248823858125,0.04373093334598033,0.1539993887380108,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.032112222805829614,0.05476190499040878,-0.07599149479806408,0.14013053403162865,NA,NA,
(X_c)-(0.0) = 0,0.02488404237016834,0.028046733026879298,-0.031051101934310994,0.079142826576595,NA,NA,
(X_k)-(0.0) = 0,0.12301347354366866,0.02891732597730379,0.06653757893243664,0.17839805334296516,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.035282076415917546,0.05619230200933931,-0.1455184205935449,0.07440824068020672,NA,NA,
(X_c)-(0.0) = 0,-0.11915792815068331,0.027253849010326764,-0.17120106079430494,-0.06586947219854729,NA,NA,*
(X_k)-(0.0) = 0,0.13286825354381793,0.027730273967498668,0.07952543110517656,0.18650468860308236,NA,NA,*
